Instância,Solução ótima (SO),Solução inicial,Solução encontrada (SE),% de desvio em relação à solução ótima,Tempo computacional,Heurística Inicial,Algoritmo Pós-processamento
a280,2579,3324.59,2879.81,11.66382318728189,14,NearestNeighbor,LinKernighanHeuristic
a280,2579,3324.59,3324.59,28.910042652190775,1,NearestNeighbor,OptK
a280,2579,3324.59,2880.54,11.69212873206669,3329,NearestNeighbor,OptOr
a280,2579,3324.59,3130.3,21.376502520356734,10061,NearestNeighbor,Opt3
a280,2579,3324.59,2884.68,11.8526560682435,177,NearestNeighbor,Opt2
a280,2579,3781.94,2914.6,13.012795657231482,1,MinimumSpanningTreeHeuristic,LinKernighanHeuristic
a280,2579,3781.94,3781.94,46.643660333462584,0,MinimumSpanningTreeHeuristic,OptK
a280,2579,3781.94,3043.11,17.99573478092284,5534,MinimumSpanningTreeHeuristic,OptOr
a280,2579,3781.94,2955.67,14.60527336176813,20130,MinimumSpanningTreeHeuristic,Opt3
a280,2579,3781.94,2899.19,12.415277239240018,193,MinimumSpanningTreeHeuristic,Opt2
a280,2579,3071.85,2946.74,14.259015122140356,1,CheapestInsertion,LinKernighanHeuristic
a280,2579,3071.85,3071.85,19.110120201628536,0,CheapestInsertion,OptK
a280,2579,3071.85,2815.43,9.167506785575798,2873,CheapestInsertion,OptOr
a280,2579,3071.85,2914.47,13.00775494377665,10053,CheapestInsertion,Opt3
a280,2579,3071.85,2897.56,12.352074447460254,128,CheapestInsertion,Opt2
a280,2579,2962.64,2952.67,14.488949205118265,0,FarthestInsertion,LinKernighanHeuristic
a280,2579,2962.64,2962.64,14.87553315238464,0,FarthestInsertion,OptK
a280,2579,2962.64,2809.01,8.918573090345104,1943,FarthestInsertion,OptOr
a280,2579,2962.64,2952.68,14.489336952307088,7535,FarthestInsertion,Opt3
a280,2579,2962.64,2929.4,13.586661496704153,96,FarthestInsertion,Opt2
a280,2579,35345.83,2882.18,11.755719271035279,1,RandomPathConstruction,LinKernighanHeuristic
a280,2579,35345.83,35056.36,1259.3005040713456,0,RandomPathConstruction,OptK
a280,2579,35345.83,3273.79,26.940286932919733,15635,RandomPathConstruction,OptOr
a280,2579,35345.83,2925.38,13.430787126793334,15060,RandomPathConstruction,Opt3
a280,2579,35345.83,3022.91,17.212485459480416,193,RandomPathConstruction,Opt2
bier127,118282,135098.7,124973.92,5.657597943896787,0,NearestNeighbor,LinKernighanHeuristic
bier127,118282,135098.7,135098.7,14.217463350298448,0,NearestNeighbor,OptK
bier127,118282,135098.7,121275.43,2.530757004446994,203,NearestNeighbor,OptOr
